"トドウフケン","都道府県","ローマ字","地域名ローマ字","地域"
"アイチケン","愛知県","AICHI","Chubu","中部"
"エヒメケン","愛媛県","EHIME","Shikoku","四国"
"イバラキケン","茨城県","IBARAKI","Kanto","関東"
"オカヤマケン","岡山県","OKAYAMA","Chugoku","中国"
"オキナワケン","沖縄県","OKINAWA","Okinawa","沖縄"
"イワテケン","岩手県","IWATE","Tohoku","東北"
"ギフケン","岐阜県","GIFU","Chubu","中部"
"ミヤザキケン","宮崎県","MIYAZAKI","Kyushu","九州"
"ミヤギケン","宮城県","MIYAGI","Tohoku","東北"
"キョウトフ","京都府","KYOTO","Kinki","近畿"
"クマモトケン","熊本県","KUMAMOTO","Kyushu","九州"
"グンマケン","群馬県","GUNMA","Kanto","関東"
"ヒロシマケン","広島県","HIROSHIMA","Chugoku","中国"
"カガワケン","香川県","KAGAWA","Shikoku","四国"
"コウチケン","高知県","KOCHI","Shikoku","四国"
"サガケン","佐賀県","SAGA","Kyushu","九州"
"サイタマケン","埼玉県","SAITAMA","Kanto","関東"
"ミエケン","三重県","MIE","Kinki","近畿"
"ヤマガタケン","山形県","YAMAGATA","Tohoku","東北"
"ヤマグチケン","山口県","YAMAGUCHI","Chugoku","中国"
"ヤマナシケン","山梨県","YAMANASHI","Chubu","中部"
"シガケン","滋賀県","SHIGA","Kinki","近畿"
"ガコシマケン","鹿児島県","KAGOSHIMA","Kyushu","九州"
"アキタケン","秋田県","AKITA","Tohoku","東北"
"ニイガタケン","新潟県","NIIGATA","Chubu","中部"
"カナガワケン","神奈川県","KANAGAWA","Kanto","関東"
"アオモリケン","青森県","AOMORI","Tohoku","東北"
"シズオカケン","静岡県","SHIZUOKA","Chubu","中部"
"イシカワケン","石川県","ISHIKAWA","Chubu","中部"
"チバケン","千葉県","CHIBA","Kanto","関東"
"オオサカフ","大阪府","OSAKA","Kinki","近畿"
"オオイタケン","大分県","OITA","Kyushu","九州"
"ナガサキケン","長崎県","NAGASAKI","Kyushu","九州"
"ナガノケン","長野県","NAGANO","Chubu","中部"
"トットリケン","鳥取県","TOTTORI","Chugoku","中国"
"シマネケン","島根県","SHIMANE","Chugoku","中国"
"トウキョウト","東京都","TOKYO","Kanto","関東"
"トクシマケン","徳島県","TOKUSHIMA","Shikoku","四国"
"トチギケン","栃木県","TOCHIGI","Kanto","関東"
"ナラケン","奈良県","NARA","Kinki","近畿"
"トヤマケン","富山県","TOYAMA","Chubu","中部"
"フクイケン","福井県","FUKUI","Chubu","中部"
"フクオカケン","福岡県","FUKUOKA","Kyushu","九州"
"フクシマケン","福島県","FUKUSHIMA","Tohoku","東北"
"ヒョウゴケン","兵庫県","HYOGO","Kinki","近畿"
"ホッカイドウ","北海道","HOKKAIDO","Hokkaido","北海道"
"ワカヤマケン","和歌山県","WAKAYAMA","Kinki","近畿"
